id,language,name,shortName
162,en,Nutrition and Physical Activity for Health,nutritionforhealth
680,en,Sustainability in Practice,sustaininprac
1905,en,Understanding Video Games,uvg
1420,en,Introduction to Computational Arts: Audio,compartsaudio
487,en,Physics 1 for Physical Science Majors,physics1
749,en,Discrete Inference and Learning in Artificial Vision,artificialvision
2256,ru,Введение в российское налоговое право (Introduction to the Russian Tax Law),taxlaw
458,es,Innovación educativa con recursos abiertos,innovacionrea
1181,en,The Art and Archaeology of Ancient Nubia,ancientnubia
145,en,Web Intelligence and Big Data,bigdata
2567,en,Curanderismo Part 1: Traditional Healing of the Body,tradhealingbody
48,en,"Networks: Friends, Money, and Bytes",friendsmoneybytes
525,fr,L'art des structures 1 : Câbles et arcs,structures
855,en,"Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies",dementiacare
640,en,Common Core in Action: Math Classroom Challenges- Using Formative Assessment to Guide Instruction,ccss-math1
1961,zh-tw,電磁學(Electromagnetics),ntuem
705,en,Inquiry Science Learning: Perspectives & Practices 4 - Student-Centered Inquiry,scistudentinquiry
95,en,Building an Information Risk Management Toolkit,inforisk
1566,en,Australian literature: a rough guide,auslitroughguide
1647,zh-cn,关爱生命--实用急救与自救技能,sjtufirstaid
739,en,Teaching and Assessing Clinical Skills,clinicalskills
2888,en,Nudge-it: Understanding obesity,nudgeit
2656,en,Launching New Ventures,venture
50,en,Neuroethics,neuroethics
1053,en,Understanding Research: An Overview for Health Professionals,researchforhealth
2569,en,Curanderismo Part 3: Traditional Healing with Cultural Traditions,tradhealingculture
67,en,Nutrition for Health Promotion and Disease Prevention,nutrition
791,en,"Statistical Reasoning for Public Health 1: Estimation, Inference, & Interpretation",statreasoning
182,en,Introduction to Tissue Engineering,tissue101
1188,en,AstroTech: The Science and Technology behind Astronomical Discovery,astrotech
441,en,"Live!:  A History of Art for Artists, Animators and Gamers",livearthistory
16,en,Compilers,compilers
840,en,Preparing for the AP* Calculus AB and BC Exams,apcalc
1262,en,Preparation for General Chemistry,chemprep
2337,en,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",acctcostanalysis
1980,en,Financial Planning for Young Adults,personalfinance
1830,zh-cn,医学图像处理技术 Medical Image Analysis,sjtumia
643,en,Foundations of Teaching for Learning 7: Being a Professional,teach7
2354,en,Big Data Analytics for Healthcare,bigdataanalytics
31,en,Networked Life,networks
2838,zh-tw,東坡詞 (Ci Poetry of Su Dong Po),dpc
703,en,Inquiry Science Learning: Perspectives and Practices 2 - Techniques for Success,inquirytechniques
2379,en,Introduction to User Experience Design,uidesign1
1353,en,Wheels of Metals: Urban Mining for a Circular Economy,metals
600,en,Student Thinking at the Core,corethink
1052,en,Technology and Ethics,techethics
72,en,An Introduction to the U.S. Food System: Perspectives from Public Health,foodsys
1585,en,Global Affairs Final Project,globalaffairsfinal
446,fr,Conception et mise en œuvre d'algorithmes.,algoprog
2848,en,Understanding the UK's 2015 General Election,ge2015
2875,en,American Health Policy: The Structure of the American Health Care System (Part I of II),americanhealthsystem
465,en,Volcanic Eruptions: a material science.,volcano
2626,en,Programming Cloud Services for Android Handheld Systems: Security,mobilecloudsecurity
3092,en,"Brand Management: Aligning Business, Brand and Behaviour",brand
1966,en,Latino Popular Culture for the Clueless,latinopop
87,en,Computational Photography,compphoto
482,en,Conditions of War and Peace,warandpeace
203,en,"The Language of Hollywood: Storytelling, Sound, and Color",hollywood
1157,en,Philosophy and the Sciences,philsci
524,en,Globalization and You,globalization
2325,en,Engaging Citizens:  A Game Changer for Development?,engagecitizen
368,zh-tw,The Beauty of Kunqu Opera | 崑曲之美,kunqu
1807,fr,Physique des cellules solaires au silicium,enrpv
1385,en,Ocean Solutions,oceansolutions
963,de,Informatik für Ökonomen,inf4oec
896,en,Mining Massive Datasets,mmds
1639,en,Android Capstone Project,androidcapstone
304,en,TechniCity,techcity
1508,en,Foundations of E-Commerce ,ntuecom
2823,en,Humanitarian communication : Addressing key challenges,hacommunication
186,en,Exercise Physiology: Understanding the Athlete Within,exphys
114,en,Critical Thinking in Global Challenges,criticalthinking
418,en,Maps and the Geospatial Revolution,maps
23,en,Introduction to Sociology,soc101
2786,en,Public-Private Partnerships (PPP): How can PPPs help deliver better services?,effectiveppp
119,en,High Performance Scientific Computing,scicomp
914,fr,Comprendre les Microcontrôleurs,microcontroleurs
378,en,"Drug Discovery, Development & Commercialization ",drugdiscovery
235,en,"Nutrition, Health, and Lifestyle: Issues and Insights",lifenutr
3497,en,Global Environmental Management,globalenvmanangement
433,en,Programmed cell death,pcd
207,en,Archaeology's Dirty Little Secrets,secrets
478,es,Continuidad y desarrollo de la empresa familiar,empresafamiliar
2183,pt-br,História da Contabilidade,histcontabilidade
383,en,Sustainability of Food Systems: A Global Life Cycle Perspective,globalfoodsystems
2095,en,Water in the Western United States,waterwestus
2294,en,Fog Networks and the Internet of Things,fog
2623,en,Programming Mobile Services for Android Handheld Systems: Concurrency,posaconcurrency
82,en,Principles of Economics for Scientists,econ1scientists
1045,en,Collaboration and Communication in Healthcare: Interprofessional Practice,interprofessional
214,en,"Science, Technology, and Society in China I: Basic Concepts",stschina1
300,en,Startup Engineering,startup
1348,en,The Global Student's Introduction to U.S. Law,globalintrouslaw
620,en,Effective Classroom Interactions: Supporting Young Children’s Development,earlychildhood
1512,en,Teaching goes massive: new skills required,massiveteaching
1774,en,Take the Lead on Healthcare Quality Improvement,hcqualityimprovement
2683,en,Common Core in Action II: Exploring Literacy Design Collaborative Tools,cc2lit
315,en,"""Pay Attention!!"" ADHD Through the Lifespan",adhd
1678,en,How to Succeed in College,succeedincollege
2155,en,Learning for Sustainability: Developing a personal ethic,sustainability
432,en,Introduction to Mathematical Philosophy,mathphil
410,en,Children Acquiring Literacy Naturally,childliteracy
36,en,"Cardiac Arrest, Hypothermia, and Resuscitation Science",cardiacarrest
51,en,Rationing and Allocating Scarce Medical Resources,rationing
405,en,The Role of the Renminbi in the International Monetary System ,renminbi
190,en,Principles of Public Health,publichealth
1986,en,Representing the Professional Athlete,sportsagents
19,en,Computer Security,security
210,en,Pre-Calculus,precalculus
126,en,Design: Creation of Artifacts in Society,design
1495,en,Risk and Opportunity: Managing Risk for Development,managerisk
268,en,Surviving Disruptive Technologies,sdt
474,en,Understanding Media by Understanding Google,googlemedia
635,en,Structure Standing Still: The Statics of Everyday Objects,staticsofobjects
2340,en,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,dmanalyticspractice
1165,fr,"Durabilité : état des lieux planétaire, scénarios envisageables",durabilite
94,en,Artificial Intelligence Planning,aiplan
886,en,Global Tuberculosis (TB) Clinical Management and Research,tbmanagement
415,en,International Organizations Management,interorg
1093,en,Abortion: Quality Care and Public Health Implications,abortion
2353,en, Mobile Healthcare technologies for patients and providers,introbiomedhlthinfo
2159,en,Managing the Company of the Future,futuremanagement
464,es,El ABC del emprendimiento esbelto ,abcemprendimiento
1129,en,Globalization of Business Enterprise,globe
1827,en,Freedom and protest: Magna Carta and its legacies,magnacarta
2803,en,Practical Learning Analytics,pla
2600,en,Programming Mobile Applications for Android Handheld Systems: Part 2,androidpart2
644,en,Foundations of Teaching for Learning 8: Developing Relationships,teach8
131,en,"Creative, Serious and Playful Science of Android Apps",androidapps101
163,en,A Look at Nuclear Science and Technology,nuclearscience
200,en,Introduction to Digital Sound Design,digitalsounddesign
2687,fr,Droit international et droit comparé: regards croisés,droit
1004,fr,Evaluation financière de l'entreprise,evaluation
691,en,How Viruses Cause Disease,virology2
1399,en,Myths and Realities of Personalised Medicine: The Genetic Revolution,personalisedmed
322,en,Introduction to Psychology as a Science,psy
122,en,The Hardware/Software Interface,hwswinterface
469,en,Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing),basicwriting
940,en,Warhol,warhol
354,en,The Global Business of Sports,globalsportsbusiness
1565,en,Presumed Innocent? The Social Science of Wrongful Conviction,wrongfulconviction
639,en,Common Core in Action: Literacy in the Content Areas- Exploring Literacy Design Collaborative Template Tasks,ccss-literacy1
882,en,Applying Principles of Behavior in the K-12 Classroom,behaviorprinciples
100,en,Designing and Executing Information Security Strategies,infosec
1417,en,The Meat We Eat,meatweeat
1870,en,Introduction to Acoustics (Part 2),acoustics2
2771,en,Sagas and Space - Thinking Space in Viking Age and Medieval Scandinavia,sagaspace
